,,Number of persons ,,,,,,,
Other adult correctional systems,,2000,2010,2014,2015,"Average annual change, 2000_2014",,"Percent change, 2014_2015",
Total,Total,"20,400","17,600","17,800","16,800",-0.9,%,-5.7,%
Territorial prisons/a,,"16,200","13,800","14,000","12,900",-1,,-8.1,
Military facilties/b,,"2,400","1,400","1,400","1,400",-3.9,,-0.8,
Jails in Indian country/c,,"1,800","2,400","2,400","2,500",2.1,,5.5,
